"Ploidy_leveltriploid","geneticSexIDmale","Cos.aspect","Elevation","prefix_this","minsize","maxsize","n_iterations","size_mean_initial","size_sd_initial","n_S_initial","n_T_initial","size_mean_final","n_T_final","n_S_final","longevity_90_final","n_S_lag_factor","SWE.mean","STB.mean","basal_area_density","n_T_final_gt_30_cm","cv_final_ten","index"
"1","1",-1,2800,"test_4_8",5,60,300,18.5003819856385,9.41873709584272,0.6425189126972,0.2,25.6957704932211,0.861518414531538,0.0626903084177294,359,0.2,100,0,0.0598953977228416,0.32540495718391,0.000744505573387087,4
"1","1",-1,2800,"test_4_9",5,60,300,18.5003819856385,9.41873709584272,0.0941165280987193,0.2,26.5828811947468,0.333093453940736,0.0805037742397018,263,0.2,100,0,0.0252300604083734,0.129527936009002,0.000730724884927147,4
"1","1",-1,2800,"test_4_10",5,60,300,18.5003819856385,9.41873709584272,0.194334413351528,0.2,27.4390664530592,0.454092808292713,0.0767927435606315,292,0.2,100,0,0.0369238833329776,0.19141285843044,0.00117230843132564,4
"0","0",-1,3200,"test_5_1",5,60,300,18.5003819856385,9.41873709584272,1.79621130954876,0.2,27.5315174580983,0.221294945105772,1.76749581904263,121,0.2,100,0,0.0176471532778958,0.0927516529904442,0.000535557712628186,5
"0","0",-1,3200,"test_5_2",5,60,300,18.5003819856385,9.41873709584272,1.06666456274738,0.2,29.8002387650121,0.426762552137972,0.667330940907227,178,0.2,100,0,0.038054773434299,0.207404795056521,0.000133028934297824,5
"0","0",-1,3200,"test_5_3",5,60,300,18.5003819856385,9.41873709584272,1.73931354316033,0.2,15.2526667588858,0.608913631114566,0.736693172208983,46,0.2,100,0,0.0184102323650826,0.0788418654374483,4.32791091792952e-05,5
"0","0",-1,3200,"test_5_4",5,60,300,18.5003819856385,9.41873709584272,2.52221527935894,0.2,13.179958782988,0.0722415137482839,2.11061631647474,34,0.2,100,0,0.00170708130077444,0.00691686597695374,0.000171196108008638,5
"0","0",-1,3200,"test_5_5",5,60,300,18.5003819856385,9.41873709584272,0.345622292227808,0.2,29.8978616889595,0.0894839328925839,0.33864726923006,89,0.2,100,0,0.00811140944601229,0.04301622737278,0.000454303334712784,5
"0","0",-1,3200,"test_5_6",5,60,300,18.5003819856385,9.41873709584272,2.97774056861678,0.2,28.5260339421602,0.295530953198165,2.73312635157802,141,0.2,100,0,0.0250090842425007,0.131182659061943,0.000145732747100209,5
"0","0",-1,3200,"test_5_7",5,60,300,18.5003819856385,9.41873709584272,6.34636030110209,0.2,32.157715237527,0.440560592322479,2.76822812853524,121,0.2,100,0,0.0432144444017011,0.249389661753157,0.000734561319963267,5
"0","0",-1,3200,"test_5_8",5,60,300,18.5003819856385,9.41873709584272,5.28650343083011,0.2,27.7162329566307,0.51284891578159,2.25176093877277,294,0.2,100,0,0.0421682923540095,0.221011677298116,0.00193169624905444,5
"0","0",-1,3200,"test_5_9",5,60,300,18.5003819856385,9.41873709584272,0.731353071868534,0.2,14.8162811689084,0.167036593003712,0.72080022374483,22,0.2,100,0,0.0056280735351323,0.0285927407775699,0.00128085997211507,5
"0","0",-1,3200,"test_5_10",5,60,300,18.5003819856385,9.41873709584272,2.30847556722142,0.2,26.5227494921116,0.167567141061449,2.41827286166067,234,0.2,100,0,0.0121574669211279,0.0651847247299407,0.00312886320653741,5
"0","1",-1,3200,"test_6_1",5,60,300,18.5003819856385,9.41873709584272,4.45306369002546,0.2,25.0791993364262,0.419586601754511,2.78534338192299,201,0.2,100,0,0.028625747409004,0.147340209519448,0.000601769502366157,6
"0","1",-1,3200,"test_6_2",5,60,300,18.5003819856385,9.41873709584272,1.75655131185933,0.2,25.1821966611761,0.597093831169955,0.620765878833902,235,0.2,100,0,0.0408709080996878,0.200283336091388,0.00409771655675428,6
"0","1",-1,3200,"test_6_3",5,60,300,18.5003819856385,9.41873709584272,2.20148757557917,0.2,7.82828664764558,0.711217521629461,0.66456801516843,16,0.2,100,0,0.0056421764779152,0.0172290417203329,8.31536210263182e-05,6
"0","1",-1,3200,"test_6_4",5,60,300,18.5003819856385,9.41873709584272,4.94658002674416,0.2,15.3086720701275,0.23650189041558,4.60196664714367,55,0.2,100,0,0.00726597380625712,0.0315730944054564,0.000249942116281984,6
"0","1",-1,3200,"test_6_5",5,60,300,18.5003819856385,9.41873709584272,0.631824245590995,0.2,30.2277673547399,0.236396201261948,0.575793929456613,107,0.2,100,0,0.0218074918834243,0.116171842136897,0.00181499759433487,6
"0","1",-1,3200,"test_6_6",5,60,300,18.5003819856385,9.41873709584272,6.52429166339846,0.2,25.9052375904335,0.496503961342134,3.71407697009807,215,0.2,100,0,0.0349970211325895,0.180877403609671,0.00203435620004752,6
"0","1",-1,3200,"test_6_7",5,60,300,18.5003819856385,9.41873709584272,11.9247835388537,0.2,22.5324389483876,0.49086394383278,4.27652067948024,131,0.2,100,0,0.028819266535315,0.118160102629361,0.00869504572115203,6
"0","1",-1,3200,"test_6_8",5,60,300,18.5003819856385,9.41873709584272,9.23634155310353,0.2,15.2885695224521,0.673419175932864,2.07573152629093,42,0.2,100,0,0.0202449328469876,0.0863775355897125,5.57186271627097e-05,6
"0","1",-1,3200,"test_6_9",5,60,300,18.5003819856385,9.41873709584272,1.38561003460282,0.2,10.5176873503956,0.270614292206978,1.31559499577904,17,0.2,100,0,0.00477540560218926,0.0219377381605336,0.000464162821308913,6
"0","1",-1,3200,"test_6_10",5,60,300,18.5003819856385,9.41873709584272,5.39270625122122,0.2,16.4022989832896,0.434694939055647,2.33993440472847,46,0.2,100,0,0.0153482030032648,0.0696718496989195,1.47718356024351e-05,6
"1","0",-1,3200,"test_7_1",5,60,300,18.5003819856385,9.41873709584272,0.587880028173513,0.2,27.7741939703559,0.146363638348534,0.578441231733525,103,0.2,100,0,0.0118902206346279,0.0623544801206035,0.000392263232915335,7
"1","0",-1,3200,"test_7_2",5,60,300,18.5003819856385,9.41873709584272,0.222017462820341,0.2,30.1723961092153,0.366159868834842,0.164907912135659,143,0.2,100,0,0.0339782390369281,0.179016840142597,0.00183725394287209,7
"1","0",-1,3200,"test_7_3",5,60,300,18.5003819856385,9.41873709584272,0.724954237052634,0.2,20.8369541638455,0.501053114423509,0.424885435430586,116,0.2,100,0,0.0260050562693333,0.129544931681276,0.000182453180255157,7
"1","0",-1,3200,"test_7_4",5,60,300,18.5003819856385,9.41873709584272,0.730707255974936,0.2,15.1898107588548,0.0379639511538695,0.402384939959218,42,0.2,100,0,0.0011641917167727,0.00512334080284438,0.000537527423906146,7
"1","0",-1,3200,"test_7_5",5,60,300,18.5003819856385,9.41873709584272,0.112300158543152,0.2,29.6080484619007,0.0567885652352581,0.0880334232288365,83,0.2,100,0,0.00507260459778405,0.0268822630720487,0.00010145354557909,7
"1","0",-1,3200,"test_7_6",5,60,300,18.5003819856385,9.41873709584272,1.15675872741917,0.2,27.0527095951047,0.193355468063458,1.15592547068308,128,0.2,100,0,0.0150665510751732,0.0787290641404879,0.000754404453107028,7
"1","0",-1,3200,"test_7_7",5,60,300,18.5003819856385,9.41873709584272,1.52605738308007,0.2,30.7078374240964,0.320619559806032,1.0811777083835,101,0.2,100,0,0.0307915047144546,0.160988077077635,0.00307364932104734,7
"1","0",-1,3200,"test_7_8",5,60,300,18.5003819856385,9.41873709584272,2.3933935962552,0.2,25.3583045223366,0.410523204274081,1.47481998608019,233,0.2,100,0,0.029084757765318,0.149145528590681,0.00025236514769097,7
"1","0",-1,3200,"test_7_9",5,60,300,18.5003819856385,9.41873709584272,0.276162056668583,0.2,16.8822719692174,0.107174340514988,0.236143045395471,25,0.2,100,0,0.00465137429647703,0.0237579309809385,0.00265503749950867,7
"1","0",-1,3200,"test_7_10",5,60,300,18.5003819856385,9.41873709584272,0.517718778077421,0.2,25.4694271649996,0.108053414641355,0.524585220155729,215,0.2,100,0,0.007324018647853,0.039053650480877,0.00540046872104708,7
"1","1",-1,3200,"test_8_1",5,60,300,18.5003819856385,9.41873709584272,1.45743832790379,0.2,27.012561173243,0.33163449821613,1.16820491806246,155,0.2,100,0,0.0258128862265665,0.134947740198578,0.000505094167591924,8
"1","1",-1,3200,"test_8_2",5,60,300,18.5003819856385,9.41873709584272,0.365611720115908,0.2,31.0048872575794,0.59408903072701,0.128752337115286,189,0.2,100,0,0.055385577461538,0.313115706849151,0.000180932330280075,8
"1","1",-1,3200,"test_8_3",5,60,300,18.5003819856385,9.41873709584272,0.917590593145705,0.2,11.984819160862,0.630222667773188,0.362825053149144,28,0.2,100,0,0.0128103388604278,0.0516800879830842,6.58094340302245e-05,8
"1","1",-1,3200,"test_8_4",5,60,300,18.5003819856385,9.41873709584272,1.43306637914006,0.2,17.5647601893731,0.164129570443845,1.48910571757972,77,0.2,100,0,0.00634343799294753,0.0293440013919169,0.000721428311695393,8
"1","1",-1,3200,"test_8_5",5,60,300,18.5003819856385,9.41873709584272,0.205293363729295,0.2,29.8756375880871,0.184138321965226,0.21137242331516,98,0.2,100,0,0.0167163156043144,0.0883447327173964,0.00131147111719347,8
"1","1",-1,3200,"test_8_6",5,60,300,18.5003819856385,9.41873709584272,2.53448248695825,0.2,26.9376054454724,0.381721894101673,1.9566053277809,188,0.2,100,0,0.0291875675653863,0.154206157367157,0.000296588582383623,8
"1","1",-1,3200,"test_8_7",5,60,300,18.5003819856385,9.41873709584272,2.86745521806242,0.2,33.3847623100901,0.413046157693283,1.3897698731718,113,0.2,100,0,0.044358047426919,0.243984804015281,0.00591060225577016,8
"1","1",-1,3200,"test_8_8",5,60,300,18.5003819856385,9.41873709584272,4.18162988358311,0.2,17.8732860008039,0.619930775762529,1.174848823435,62,0.2,100,0,0.0241478051304672,0.111648594084132,0.00010281533688088,8
"1","1",-1,3200,"test_8_9",5,60,300,18.5003819856385,9.41873709584272,0.523212291867319,0.2,13.0000332910514,0.206966457405506,0.522829760970683,21,0.2,100,0,0.0055870307472349,0.0274268098039663,0.0008035355265293,8
"1","1",-1,3200,"test_8_10",5,60,300,18.5003819856385,9.41873709584272,1.20941513549272,0.2,17.0804225726002,0.373744475825883,0.685712075401767,56,0.2,100,0,0.0141783022547919,0.0652242613759915,3.26844830811286e-05,8
