"site_code","year","tag","date","field_team","unhealthy","cow","n_small_trees","n_medium_trees","n_small_dead","n_medium_dead","n_dead_down","n_standing_dead","site_notes","n_aspen_trees_surveyed","n_tree_species","plot_radius_m","plot_area_m2","n_adult_dead","n_adult_damaged","n_standing","n_fallen","n_standing_dead_full_survey","n_alive","dbh_center_live","dbh_mean_live","basal_area_live_m2","basal_area_density_live","plot_area_m2_derived","n_standing_in_previous_survey","n_still_standing_in_current_year","n","FRACTION_STANDING_AFTER_NUM_YEARS","pfailure","expected_fallen_dead","n_adult_dead_w_background_mortality_estimate","n_adult_dead_or_damaged","n_adult_dead_per_m2","n_adult_damaged_per_m2","n_adult_dead_or_damaged_per_m2","n_standing_dead_per_m2","n_adult_dead_w_background_mortality_estimate_per_m2","frac_adult_dead","frac_adult_damaged","frac_adult_dead_or_damaged","frac_standing_dead","frac_adult_dead_w_background_mortality_estimate","frac_adult_dead_per_m2","frac_adult_damaged_per_m2","frac_adult_dead_or_damaged_per_m2","frac_standing_dead_per_m2","frac_adult_dead_w_background_mortality_estimate_per_m2"
"AHQT",2023,229,2023-07-10,"HL, VM",0,0,0,0,0,0,1,0,NA,1,1,NA,NA,0,NA,1,0,0,1,40,NA,0.125663706143592,NA,75.4296396126909,10,10,5,NA,NA,0.697294021638848,0.697294021638848,NA,0,NA,NA,0,0.00924429740376923,0,NA,NA,0,0.0633903656035316,0,NA,NA,0,0.00084039067306993
"AHUK",2018,131,2018-06-29,NA,NA,NA,0,0,NA,NA,NA,4,NA,11,1,6,113.097335529233,4,0,11,0,4,7,18.5,24.8428571428571,0.363281993488673,0.00321211805555556,113.097335529233,NA,NA,NA,NA,NA,NA,4,4,0.0353677651315323,0,0.0353677651315323,0.0353677651315323,0.0353677651315323,0.363636363636364,0,0.363636363636364,4,0.363636363636364,0.00321525137559385,0,0.00321525137559385,0.0353677651315323,0.00321525137559385
"AHYY",2018,234,2018-07-08,NA,0,0,0,0,NA,NA,NA,2,NA,11,1,5.7,102.070345315132,2,0,11,0,2,9,29.3335,24.3761111111111,0.43318721758263,0.00424400658433364,102.070345315132,NA,NA,NA,NA,NA,NA,2,2,0.0195943297127603,0,0.0195943297127603,0.0195943297127603,0.0195943297127603,0.181818181818182,0,0.181818181818182,2,0.181818181818182,0.00178130270116003,0,0.00178130270116003,0.0195943297127603,0.00178130270116003
"AHYY",2023,234,2023-07-10,"HL, VM",0,0,0,0,0,0,3,1,NA,1,1,NA,NA,1,NA,1,0,0,1,29.6,NA,0.0688134454842308,NA,102.070345315132,11,11,5,NA,NA,0.767023423802733,1.76702342380273,NA,0.00979716485638014,NA,NA,0.00979716485638014,0.0173118197880806,0.0909090909090909,NA,NA,0.0909090909090909,0.160638493072976,0.000890651350580013,NA,NA,0.000890651350580013,0.00157380179891642
"AMYCG",2018,281,2018-07-12,NA,NA,NA,1,4,NA,NA,NA,2,NA,11,1,5,78.5398163397448,2,0,11,0,2,9,35.9,22.1555555555556,0.469308389352838,0.00597542,78.5398163397448,NA,NA,NA,NA,NA,NA,2,2,0.0254647908947033,0,0.0254647908947033,0.0254647908947033,0.0254647908947033,0.181818181818182,0,0.181818181818182,2,0.181818181818182,0.00231498099042757,0,0.00231498099042757,0.0254647908947033,0.00231498099042757
"AMYCG",2020,281,2020-07-02,"Nicole, Gavin, Courtenay",0,0,1,4,NA,NA,13,2,NA,12,1,5.1,81.7128249198705,2,1,12,0,2,10,36.1,20.71,0.476885125435133,0.00583611111111111,81.7128249198705,11,11,2,1,0,0.313477534090597,2,3,0.0244759620287421,0.012237981014371,0.0367139430431131,0.0244759620287421,0.0244759620287421,0.166666666666667,0.0833333333333333,0.25,2,0.166666666666667,0.00203966350239517,0.00101983175119759,0.00305949525359276,0.0244759620287421,0.00203966350239517
"AMYCG",2023,281,2023-07-26,"EC CP",0,0,1,1,0,0,8,1,"generally healthy",1,1,NA,NA,1,NA,1,0,0,1,36.6,NA,0.105208796376069,NA,78.5398163397448,12,12,3,NA,NA,0.509291090147209,1.50929109014721,NA,0.0127323954473516,NA,NA,0.0127323954473516,0.0192168910049187,0.0909090909090909,NA,NA,0.0909090909090909,0.137208280922474,0.00115749049521378,NA,NA,0.00115749049521378,0.00174699009135624
"AMYT",2018,228,2018-07-06,NA,NA,NA,1,0,NA,NA,NA,0,NA,11,1,5,78.5398163397448,0,0,11,0,0,11,25.5,25.0272727272727,0.55867334857869,0.00711325,78.5398163397448,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMYT",2023,228,2023-07-10,"HL, VM",0,0,7,0,0,0,2,0,NA,1,1,NA,NA,0,NA,1,0,0,1,26.4,NA,0.0547391103961485,NA,78.5398163397448,11,11,5,NA,NA,0.767023423802733,0.767023423802733,NA,0,NA,NA,0,0.00976604554923797,0,NA,NA,0,0.0697294021638848,0,NA,NA,0,0.000887822322657997
"APCV",2018,68,2018-06-26,NA,NA,NA,2,3,NA,NA,NA,3,NA,11,1,4.2,55.4176944093239,3,0,11,0,3,8,24.3,23.825,0.360661119817415,0.00650804988662132,55.4176944093239,NA,NA,NA,NA,NA,NA,3,3,0.0541343343849984,0,0.0541343343849984,0.0541343343849984,0.0541343343849984,0.272727272727273,0,0.272727272727273,3,0.272727272727273,0.00492130312590895,0,0.00492130312590895,0.0541343343849984,0.00492130312590895
"APZE",2018,187,2018-07-03,NA,NA,NA,6,5,NA,NA,NA,0,NA,11,1,5.9,109.358840271461,0,1,11,0,0,11,31.2,25.0727272727273,0.597414683784596,0.00546288422866992,109.358840271461,NA,NA,NA,NA,NA,NA,0,1,0,0.00914420816385495,0.00914420816385495,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0.00083129165125954,0.00083129165125954,0,0
"APZE",2023,187,2023-07-18,"HL, VM",0,0,6,9,0,0,3,1,NA,1,1,NA,NA,1,NA,1,0,0,1,32.3,NA,0.0819398049890924,NA,109.358840271461,11,11,5,NA,NA,0.767023423802733,1.76702342380273,NA,0.00914420816385495,NA,NA,0.00914420816385495,0.0161580300176599,0.0909090909090909,NA,NA,0.0909090909090909,0.160638493072976,0.00083129165125954,NA,NA,0.00083129165125954,0.00146891181978726
"AQPIX",2018,387,2018-07-21,NA,0,0,0,0,NA,NA,NA,0,NA,11,1,5.2,84.948665353068,0,2,11,0,0,11,26.8,24.1818181818182,0.573164730091536,0.00674718934911243,84.948665353068,NA,NA,NA,NA,NA,NA,0,2,0,0.0235436306348958,0.0235436306348958,0,0,0,0.181818181818182,0.181818181818182,0,0,0,0.0021403300577178,0.0021403300577178,0,0
"AQPIX",2020,387,2020-07-30,"Gavin + Courtenay",0,0,1,0,0,0,2,0,NA,12,1,5.4,91.6088417786784,0,5,12,0,0,12,27.5,24.8083333333333,0.646950531348236,0.00706209705075446,91.6088417786784,11,11,2,1,0,0.313477534090597,0,5,0,0.0545798844622412,0.0545798844622412,0,0,0,0.416666666666667,0.416666666666667,0,0,0,0.00454832370518677,0.00454832370518677,0,0
"AQPIX",2023,387,2023-07-11,"EC MB",1,0,3,0,1,0,0,0,"lots of oozing cankers and wounds",12,1,5.4,91.6088417786784,0,7,12,0,0,12,28.2,25.7166666666667,0.699147307889467,0.00763187585733882,91.6088417786784,12,12,3,1,0,0.509291090147209,0,7,0,0.0764118382471377,0.0764118382471377,0,0,0,0.583333333333333,0.583333333333333,0,0,0,0.00636765318726147,0.00636765318726147,0,0
"AQXKL",2018,473,2018-07-26,NA,0,0,1,1,NA,NA,NA,1,NA,11,1,3.4,36.316811075498,1,0,11,0,1,10,17,11.44,0.106663353774681,0.00293702422145329,36.316811075498,NA,NA,NA,NA,NA,NA,1,1,0.0275354572823348,0,0.0275354572823348,0.0275354572823348,0.0275354572823348,0.0909090909090909,0,0.0909090909090909,1,0.0909090909090909,0.00250322338930317,0,0.00250322338930317,0.0275354572823348,0.00250322338930317
"AQXKL",2020,473,2020-07-22,"Gavin + Ben",0,1,0,1,0,2,1,0,NA,11,1,3.5,38.484510006475,1,2,11,0,0,11,17.5,11.6181818181818,0.121347157837559,0.00315314285714286,38.484510006475,11,11,2,1,0,0.313477534090597,1,3,0.0259844805047992,0.0519689610095985,0.0779534415143977,0,0.0259844805047992,0.0909090909090909,0.181818181818182,0.272727272727273,0,0.0909090909090909,0.00236222550043629,0.00472445100087259,0.00708667650130888,0,0.00236222550043629
"AQXKL",2023,473,2023-07-24,"HL, BW",0,0,0,0,0,2,1,1,"checked dendro, looks good",1,1,NA,NA,1,NA,1,0,0,1,18.6,NA,0.0271716348608981,NA,36.316811075498,11,11,3,NA,NA,0.466850165968275,1.46685016596827,NA,0.0275354572823348,NA,NA,0.0275354572823348,0.0403903900846052,0.0909090909090909,NA,NA,0.0909090909090909,0.133350015088025,0.00250322338930317,NA,NA,0.00250322338930317,0.00367185364405502
"AQZOX",2018,354,2018-07-19,NA,NA,NA,17,2,NA,NA,NA,0,NA,8,1,6.8,145.267244301992,0,0,8,0,0,8,33.7,23.525,0.385757732730618,0.00265550389273356,145.267244301992,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AQZOX",2020,354,2020-08-03,"Gavin and Aidan",0,0,9,2,5,0,8,1,"leaf hoppers",8,1,7.1,158.367685667461,1,0,8,0,1,7,33.6,24.2857142857143,0.361389969313048,0.00228196786351914,158.367685667461,8,8,2,1,0,0.227983661156798,1,1,0.00631441948390777,0,0.00631441948390777,0.00631441948390777,0.00631441948390777,0.125,0,0.125,1,0.125,0.000789302435488471,0,0.000789302435488471,0.00631441948390777,0.000789302435488471
"AQZOX",2023,354,2023-07-28,"HL, VM",0,0,3,10,0,0,8,1,NA,1,1,NA,NA,1,NA,1,0,0,1,34.9,NA,0.0956622816999726,NA,145.267244301992,8,8,3,NA,NA,0.339527393431473,1.33952739343147,NA,0.00688386432058371,NA,NA,0.00688386432058371,0.00922112483008741,0.0909090909090909,NA,NA,0.0909090909090909,0.121775217584679,0.000625805847325792,NA,NA,0.000625805847325792,0.000838284075462492
"ASIBO",2018,454,2018-07-24,NA,0,0,5,0,NA,NA,NA,5,NA,11,1,3.7,43.0084034276443,5,0,11,0,5,6,19.6,21.9166666666667,0.228779416414206,0.00531941197954711,43.0084034276443,NA,NA,NA,NA,NA,NA,5,5,0.116256349957557,0,0.116256349957557,0.116256349957557,0.116256349957557,0.454545454545455,0,0.454545454545455,5,0.454545454545455,0.0105687590870506,0,0.0105687590870506,0.116256349957557,0.0105687590870506
"ASIBO",2020,454,2020-08-13,"Gavin and Erin",0,0,5,1,0,0,7,4,"Re-nailed tag",11,1,3.8,45.3645979178366,5,1,11,0,4,7,20.2,22.2166666666667,0.235499283100235,0.00519125692520776,45.3645979178366,11,11,2,1,0,0.313477534090597,5,6,0.110218104634277,0.0220436209268553,0.132261725561132,0.0881744837074212,0.110218104634277,0.454545454545455,0.0909090909090909,0.545454545454545,4,0.454545454545455,0.0100198276940251,0.00200396553880503,0.0120237932328302,0.0881744837074212,0.0100198276940251
"ASMP",2018,12,2018-06-22,NA,NA,NA,1,0,NA,NA,NA,2,NA,11,1,9.01,255.034805777685,2,0,11,0,2,9,8.5,19.1,0.290434743037233,0.00113880433751621,255.034805777685,NA,NA,NA,NA,NA,NA,2,2,0.0078420668657415,0,0.0078420668657415,0.0078420668657415,0.0078420668657415,0.181818181818182,0,0.181818181818182,2,0.181818181818182,0.000712915169612864,0,0.000712915169612864,0.0078420668657415,0.000712915169612864
"ASMP",2023,530,2023-06-28,"EC CP",0,1,0,0,0,0,0,2,"At stand edge",1,1,NA,NA,2,NA,1,0,0,1,8.7,NA,0.00594467869875528,NA,255.034805777685,11,11,5,NA,NA,0.767023423802733,2.76702342380273,NA,0.0078420668657415,NA,NA,0.0078420668657415,0.010849591354267,0.181818181818182,NA,NA,0.181818181818182,0.251547583982067,0.000712915169612864,NA,NA,0.000712915169612864,0.000986326486751546
"ATDH",2018,251,2018-07-08,NA,0,0,0,0,NA,NA,NA,0,NA,11,1,5.9,109.358840271461,1,1,11,0,0,11,23.4,24.26,0.47173841127039,0.00431367423154266,109.358840271461,NA,NA,NA,NA,NA,NA,1,2,0.00914420816385495,0.00914420816385495,0.0182884163277099,0,0.00914420816385495,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0.00083129165125954,0.00083129165125954,0.00166258330251908,0,0.00083129165125954
"ATDH",2023,251,2023-07-12,"EC AB MW",0,0,2,0,0,0,7,1,NA,1,1,NA,NA,1,NA,1,0,0,1,24.7,NA,0.0479163565507149,NA,109.358840271461,11,11,5,NA,NA,0.767023423802733,1.76702342380273,NA,0.00914420816385495,NA,NA,0.00914420816385495,0.0161580300176599,0.0909090909090909,NA,NA,0.0909090909090909,0.160638493072976,0.00083129165125954,NA,NA,0.00083129165125954,0.00146891181978726
"ATQY",2018,97,2018-06-28,NA,NA,NA,1,0,NA,NA,NA,0,NA,11,1,4.8,72.3822947387088,0,1,10,0,0,11,41.9,17.8818181818182,0.373363364314042,0.00515821397569444,72.3822947387088,NA,NA,NA,NA,NA,NA,0,1,0,0.0138155332545048,0.0138155332545048,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0.00125595756859135,0.00125595756859135,0,0
"ATQY",2023,97,2023-07-11,"AL VM",0,0,4,1,0,0,6,0,NA,1,1,NA,NA,0,NA,1,0,0,1,42,NA,0.13854423602331,NA,72.3822947387088,10,10,5,NA,NA,0.697294021638848,0.697294021638848,NA,0,NA,NA,0,0.0096334887441189,0,NA,NA,0,0.0633903656035316,0,NA,NA,0,0.000875771704010809
"AWUSD",2018,479,2018-07-27,NA,0,0,5,5,NA,NA,NA,0,NA,10,1,5.3,88.2473376393373,0,0,10,0,0,10,11.2,12.99,0.19656395454797,0.00222742079031684,88.2473376393373,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AWUSD",2020,479,2020-08-18,"Courtenay and Erin",0,0,17,8,6,0,5,0,"All bearings/distances shot from base of focal tree. In 2018, seems like they were shot from 130",10,1,4.6,66.47610054996,0,3,10,0,0,10,12.4,13.31,0.199648998533795,0.00300331994328923,66.47610054996,10,10,2,1,0,0.284979576445997,0,3,0,0.0451290008767189,0.0451290008767189,0,0,0,0.3,0.3,0,0,0,0.00451290008767189,0.00451290008767189,0,0
"AWUSD",2023,479,2023-07-03,"EC, VM",0,0,6,8,3,2,8,2,NA,1,1,NA,NA,2,NA,1,0,0,1,12.6,NA,0.0124689812420979,NA,88.2473376393373,10,10,3,NA,NA,0.424409241789341,2.42440924178934,NA,0.0226635732419929,NA,NA,0.0226635732419929,0.0274728882099286,0.181818181818182,NA,NA,0.181818181818182,0.220400840162667,0.00206032484018118,NA,NA,0.00206032484018118,0.00249753529181169
"AZIHK",2018,424,2018-07-23,NA,0,0,1,0,NA,NA,NA,2,NA,11,1,5.9,109.358840271461,3,0,11,0,2,9,26.1,22.5875,0.330494761759483,0.00302211289859236,109.358840271461,NA,NA,NA,NA,NA,NA,3,3,0.0274326244915648,0,0.0274326244915648,0.0182884163277099,0.0274326244915648,0.272727272727273,0,0.272727272727273,2,0.272727272727273,0.00249387495377862,0,0.00249387495377862,0.0182884163277099,0.00249387495377862
"AZIHK",2020,424,2020-07-23,"CR GJB",1,1,4,0,2,0,2,1,"reddish brown stand of trees, possibly due to disease?",12,1,5.6,98.5203456165759,3,4,12,0,1,11,27.1,22.9,0.382957788278106,0.00388709343112245,98.5203456165759,11,11,2,1,0,0.313477534090597,3,7,0.0304505630915616,0.0406007507887488,0.0710513138803104,0.0101501876971872,0.0304505630915616,0.25,0.333333333333333,0.583333333333333,1,0.25,0.0025375469242968,0.0033833958990624,0.0059209428233592,0.0101501876971872,0.0025375469242968
"AZIHK",2023,424,2023-08-13,"BB, CR",1,1,3,0,0,0,3,2,NA,13,1,5.9,109.358840271461,5,2,12,1,1,11,27.2,23.5444444444444,0.403720574125681,0.00369170496983625,109.358840271461,12,11,3,0.916666666666667,0.0285735509776984,0.509291090147209,5,7,0.0457210408192747,0.0182884163277099,0.0640094571469846,0.0182884163277099,0.0457210408192747,0.384615384615385,0.153846153846154,0.538461538461538,2,0.384615384615385,0.00351700313994421,0.00140680125597768,0.00492380439592189,0.0182884163277099,0.00351700313994421
"AZLSF",2018,347,2018-07-18,NA,0,0,3,0,NA,NA,NA,1,NA,9,1,1.9,11.3411494794592,1,1,9,0,1,8,25.45,16.05625,0.187303521152891,0.0165153912742382,11.3411494794592,NA,NA,NA,NA,NA,NA,1,2,0.0881744837074212,0.0881744837074212,0.176348967414842,0.0881744837074212,0.0881744837074212,0.111111111111111,0.111111111111111,0.222222222222222,1,0.111111111111111,0.00979716485638014,0.00979716485638014,0.0195943297127603,0.0881744837074212,0.00979716485638014
"AZLSF",2020,347,2020-07-31,"Ben + Gavin",0,0,3,2,0,0,5,0,"na",9,1,2.1,13.854423602331,1,1,9,0,0,9,25.5,16.175,0.189312373305321,0.0136643990929705,13.854423602331,9,9,2,1,0,0.256481618801398,1,2,0.0721791125133312,0.0721791125133312,0.144358225026662,0,0.0721791125133312,0.111111111111111,0.111111111111111,0.222222222222222,0,0.111111111111111,0.00801990139037013,0.00801990139037013,0.0160398027807403,0,0.00801990139037013
"AZLSF",2023,347,2023-07-28,"HL, VM",0,0,1,2,1,0,4,2,NA,1,1,NA,NA,2,NA,1,0,0,1,27,NA,0.057255526111674,NA,11.3411494794592,9,9,3,NA,NA,0.381968317610407,2.38196831761041,NA,0.176348967414842,NA,NA,0.176348967414842,0.210028826612732,0.181818181818182,NA,NA,0.181818181818182,0.216542574328219,0.0160317243104402,NA,NA,0.0160317243104402,0.0190935296920666
"BCNTS01",2018,501,2018-08-08,NA,0,1,13,4,NA,NA,NA,0,"Brush Creek near to stream",11,1,3.3,34.2119439975928,0,1,11,0,0,11,25.4,11.9272727272727,0.182537528747855,0.00533549127640037,34.2119439975928,NA,NA,NA,NA,NA,NA,0,1,0,0.0292295579599441,0.0292295579599441,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0.0026572325418131,0.0026572325418131,0,0
"BCNTS01",2020,501,2020-07-14,"Gavin, Courtenay, Aiden",0,1,34,5,28,1,0,1,"Brush creek near stream",11,1,3.2,32.1699087727595,1,0,11,0,1,10,25.5,12.64,0.183404608320245,0.005701123046875,32.1699087727595,11,11,2,1,0,0.313477534090597,1,1,0.0310849498226358,0,0.0310849498226358,0.0310849498226358,0.0310849498226358,0.0909090909090909,0,0.0909090909090909,1,0.0909090909090909,0.00282590452933053,0,0.00282590452933053,0.0310849498226358,0.00282590452933053
